Region,Country,Date_of_Arrival,Number_of_Tourists
Americas,Other Markets In Americas,2023-10-01,"7,580"
Europe,Belgium & Luxembourg,2023-10-01,"2,371"
Europe,Denmark,2023-10-01,"2,636"
Europe,Finland,2023-10-01,"2,059"
Europe,France,2023-10-01,"13,088"
Europe,Germany,2023-10-01,"24,581"
Europe,Italy,2023-10-01,"4,058"
Europe,Netherlands,2023-10-01,"7,363"
Europe,Norway,2023-10-01,"1,776"
Europe,Rep Of Ireland,2023-10-01,"1,776"
Europe,Russian Federation,2023-10-01,"3,952"
Europe,Spain,2023-10-01,"4,717"
Europe,Sweden,2023-10-01,"2,273"
Europe,Switzerland,2023-10-01,"7,121"
Europe,United Kingdom,2023-10-01,"36,194"
Europe,Other Markets In Europe,2023-10-01,"18,715"
Oceania,Australia,2023-10-01,"88,033"
Oceania,New Zealand,2023-10-01,"13,059"
Oceania,Other Markets In Oceania,2023-10-01,"3,511"
Africa,Egypt,2023-10-01,265
Africa,Mauritius,2023-10-01,349
Africa,South Africa (Rep Of),2023-10-01,"1,833"
Africa,Other Markets In Africa,2023-10-01,"2,786"
Others,Others,2023-10-01,46
Southeast Asia,Brunei Darussalam,2023-11-01,"4,799"
Southeast Asia,Indonesia,2023-11-01,"184,281"
Southeast Asia,Malaysia,2023-11-01,"93,415"
Southeast Asia,Myanmar,2023-11-01,"11,774"
Southeast Asia,Philippines,2023-11-01,"61,213"
Southeast Asia,Thailand,2023-11-01,"26,808"
Southeast Asia,Vietnam,2023-11-01,"27,484"
Southeast Asia,Other Markets In Southeast Asia,2023-11-01,"8,292"
Greater China,China,2023-11-01,"104,347"
Greater China,Hong Kong SAR,2023-11-01,"22,646"
Greater China,Taiwan,2023-11-01,"21,575"
Greater China,Other Markets In Greater China,2023-11-01,"1,648"
North Asia,Japan,2023-11-01,"41,413"
North Asia,South Korea,2023-11-01,"42,614"
North Asia,Other Markets In North Asia,2023-11-01,128
South Asia,Bangladesh,2023-11-01,"10,118"
South Asia,India,2023-11-01,"90,231"
South Asia,Pakistan,2023-11-01,"1,404"
South Asia,Sri Lanka,2023-11-01,"5,048"
South Asia,Other Markets In South Asia,2023-11-01,"3,156"
West Asia,Iran,2023-11-01,560
West Asia,Israel,2023-11-01,592
West Asia,Kuwait,2023-11-01,269
West Asia,Saudi Arabia,2023-11-01,"2,652"
West Asia,United Arab Emirates,2023-11-01,"5,120"
West Asia,Other Markets In West Asia,2023-11-01,"1,505"
Americas,Canada,2023-11-01,"13,173"
Americas,USA,2023-11-01,"58,807"
Americas,Other Markets In Americas,2023-11-01,"8,042"
Europe,Belgium & Luxembourg,2023-11-01,"2,469"
Europe,Denmark,2023-11-01,"2,276"
Europe,Finland,2023-11-01,"2,236"
Europe,France,2023-11-01,"12,002"
Europe,Germany,2023-11-01,"26,528"
Europe,Italy,2023-11-01,"4,119"
Europe,Netherlands,2023-11-01,"7,110"
Europe,Norway,2023-11-01,"1,954"
Europe,Rep Of Ireland,2023-11-01,"2,042"
Europe,Russian Federation,2023-11-01,"4,695"
Europe,Spain,2023-11-01,"4,098"
Europe,Sweden,2023-11-01,"2,589"
Europe,Switzerland,2023-11-01,"6,817"
Europe,United Kingdom,2023-11-01,"43,198"
Europe,Other Markets In Europe,2023-11-01,"19,226"
Oceania,Australia,2023-11-01,"88,201"
Oceania,New Zealand,2023-11-01,"9,663"
Oceania,Other Markets In Oceania,2023-11-01,"3,099"
Africa,Egypt,2023-11-01,269
Africa,Mauritius,2023-11-01,769
Africa,South Africa (Rep Of),2023-11-01,"1,789"
Africa,Other Markets In Africa,2023-11-01,"2,168"
Others,Others,2023-11-01,35
