Region,Country,Date_of_Arrival,Number_of_Tourists
Southeast Asia,Thailand,Dec-23,"30,001"
Southeast Asia,Vietnam,Dec-23,"24,681"
Southeast Asia,Other Markets In Southeast Asia,Dec-23,"8,703"
Greater China,China,Dec-23,"130,207"
Greater China,Hong Kong SAR,Dec-23,"26,440"
Greater China,Taiwan,Dec-23,"17,413"
Greater China,Other Markets In Greater China,Dec-23,"2,893"
North Asia,Japan,Dec-23,"32,132"
North Asia,South Korea,Dec-23,"39,202"
North Asia,Other Markets In North Asia,Dec-23,123
South Asia,Bangladesh,Dec-23,"11,743"
South Asia,India,Dec-23,"92,635"
South Asia,Pakistan,Dec-23,"1,629"
South Asia,Sri Lanka,Dec-23,"5,975"
South Asia,Other Markets In South Asia,Dec-23,"2,997"
West Asia,Iran,Dec-23,427
West Asia,Israel,Dec-23,693
West Asia,Kuwait,Dec-23,512
West Asia,Saudi Arabia,Dec-23,"1,569"
West Asia,United Arab Emirates,Dec-23,"7,156"
West Asia,Other Markets In West Asia,Dec-23,"2,375"
Americas,Canada,Dec-23,"11,270"
Americas,USA,Dec-23,"66,745"
